City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,rio gallegos,-51.6226,-69.2181,283.18,29,0,8.23,AR,1681150863
250,jieshi,22.8134,115.8257,294.21,89,92,2.2,CN,1681150864
251,college,64.8569,-147.8028,256.52,71,75,0.0,US,1681150675
252,praia da vitoria,38.7333,-27.0667,293.29,64,20,5.08,PT,1681150865
253,lavrentiya,65.5833,-171.0,243.49,95,54,2.16,RU,1681150866
254,luderitz,-26.6481,15.1594,291.04,52,0,12.8,NA,1681150867
255,santa cruz cabralia,-16.2781,-39.0247,300.28,78,75,4.12,BR,1681150871
256,hwange,-18.3693,26.5019,297.58,40,97,1.09,ZW,1681150872
257,lugovoy,42.9472,72.7644,283.99,76,92,4.21,KZ,1681150872
258,cap malheureux,-19.9842,57.6142,298.41,82,100,1.34,MU,1681150873
259,soe,-9.8607,124.284,291.21,91,49,1.82,ID,1681150874
260,sinnamary,5.3833,-52.95,300.2,77,85,4.16,GF,1681150874
261,pafos,34.7667,32.4167,291.03,88,75,5.14,CY,1681150875
262,nioro,13.35,-15.75,309.93,13,24,2.94,GM,1681150876
263,zambezi,-13.5432,23.1047,294.31,76,88,1.66,ZM,1681150876
264,bathsheba,13.2167,-59.5167,302.49,61,75,9.77,BB,1681150877
265,veraval,20.9,70.3667,299.05,67,84,5.63,IN,1681150877
266,marawi,7.9986,124.2928,292.36,89,99,0.56,PH,1681150878
267,neijiang,29.5835,105.0622,295.23,60,100,3.31,CN,1681150879
268,indiana,40.0003,-86.2503,294.08,25,0,1.34,US,1681150879
269,te anau,-45.4167,167.7167,284.57,97,100,1.39,NZ,1681150880
270,ibipora,-23.2692,-51.0481,303.55,45,20,3.09,BR,1681150880
271,tsakoi,40.9586,22.0364,283.01,88,100,2.29,GR,1681150880
272,konevo,62.1215,39.3192,271.59,97,76,1.39,RU,1681150881
273,staryy nadym,65.6118,72.6842,255.76,90,100,5.9,RU,1681150881
274,fortuna,40.5982,-124.1573,292.79,75,50,2.61,US,1681150881
275,port hardy,50.6996,-127.4199,281.15,87,75,2.57,CA,1681150882
276,beyneu,45.3167,55.2,289.16,44,74,3.75,KZ,1681150882
277,hagdan,11.3333,123.9,299.9,77,100,9.03,PH,1681150883
278,peniche,39.3558,-9.3811,292.2,76,34,6.9,PT,1681150883
279,portales,34.1862,-103.3344,297.09,27,1,0.82,US,1681150884
280,deputatskiy,69.3,139.9,244.61,84,20,2.21,RU,1681150884
281,dukat,62.55,155.55,255.54,99,99,3.12,RU,1681150885
282,huaraz,-9.5333,-77.5333,290.69,57,61,1.43,PE,1681150885
283,nichlaul,27.3167,83.7333,298.3,19,2,2.71,IN,1681150886
284,matay,28.419,30.7792,294.14,45,63,9.8,EG,1681150887
285,oga,46.4631,10.347,282.53,73,92,0.84,IT,1681150887
286,cockburn town,21.4612,-71.1419,299.19,70,8,2.68,TC,1681150887
287,ribeira grande,38.5167,-28.7,291.37,77,20,4.02,PT,1681150598
288,san quintin,30.4833,-115.95,291.06,69,13,4.5,MX,1681150889
289,quesnel,52.9999,-122.5029,280.43,39,0,4.12,CA,1681150889
290,sistranda,63.7256,8.834,282.13,78,100,2.8,NO,1681150890
291,gisborne,-38.6533,178.0042,289.08,88,14,2.61,NZ,1681150890
292,ribeira brava,32.65,-17.0667,296.55,53,0,3.69,PT,1681150891
293,charleston,32.7766,-79.9309,293.82,57,0,6.69,US,1681150892
294,diffa,13.3154,12.6113,308.49,11,90,2.6,NE,1681150893
295,soria,41.6667,-2.6667,290.99,35,69,3.47,ES,1681150894
296,haverfordwest,51.8017,-4.9691,284.57,83,7,11.58,GB,1681150762
297,weston,26.1004,-80.3998,297.61,86,100,6.17,US,1681150895
298,ulladulla,-35.35,150.4667,284.72,61,31,1.75,AU,1681150895
299,zlobin,45.2924,14.6541,281.76,51,0,1.54,HR,1681150896
300,bandarbeyla,9.4942,50.8122,301.24,75,21,5.11,SO,1681150897
301,taoudenni,22.6783,-3.9836,304.93,8,24,6.5,ML,1681150898
302,artvin,41.1667,41.8333,284.56,93,86,2.73,TR,1681150899
303,sal rei,16.1833,-22.9167,297.26,57,75,8.23,CV,1681150899
304,kaitangata,-46.2817,169.8464,286.41,99,100,1.85,NZ,1681150900
305,namibe,-15.1961,12.1522,296.58,76,51,3.28,AO,1681150900
306,pindiga,9.9833,10.9333,306.9,25,99,0.85,NG,1681150900
307,roma,43.2128,-75.4557,290.98,35,11,1.34,US,1681150682
308,kloulklubed,7.0419,134.2556,301.67,77,100,7.29,PW,1681150901
309,tilichiki,60.4667,166.1,263.98,93,100,8.5,RU,1681150901
310,aripuana,-9.1667,-60.6333,302.4,70,100,0.2,BR,1681150902
311,cherdyn,60.403,56.4787,267.33,89,56,1.94,RU,1681150902
312,mago,53.2514,140.1822,269.23,90,7,0.99,RU,1681150902
313,lapeer,43.0514,-83.3188,293.15,27,0,3.6,US,1681150903
314,taltal,-25.4,-70.4833,295.28,68,10,2.57,CL,1681150903
315,dongsheng,39.8161,109.9776,274.7,36,0,2.46,CN,1681150904
316,newport,51.5877,-2.9984,284.51,79,0,12.15,GB,1681150854
317,tessalit,20.1986,1.0114,303.41,12,100,6.99,ML,1681150904
318,thinadhoo,0.5333,72.9333,301.74,69,43,2.95,MV,1681150905
319,barber,12.2833,-69.0667,302.14,70,75,6.17,CW,1681150905
320,batagay,67.6333,134.6333,246.74,90,3,1.84,RU,1681150905
321,kandrian,-6.2167,149.55,298.13,89,100,2.18,PG,1681150905
322,hambantota,6.1241,81.1185,299.9,77,18,6.29,LK,1681150906
323,kamenka,51.3223,42.7678,282.46,44,1,2.5,RU,1681150906
324,olinda,-8.0089,-34.8553,302.0,70,40,3.09,BR,1681150906
325,haines junction,60.7522,-137.5108,275.12,48,91,0.51,CA,1681150907
326,zhashkiv,49.2454,30.1102,282.3,77,98,3.13,UA,1681150907
327,caravelas,-17.7125,-39.2481,299.96,78,75,5.88,BR,1681150907
328,gravdal,68.1214,13.5031,279.09,56,0,3.6,NO,1681150907
329,longyearbyen,78.2186,15.6401,271.06,74,75,0.0,SJ,1681150908
330,tallahassee,30.4383,-84.2807,294.06,59,75,5.66,US,1681150897
331,ray,23.6833,85.05,301.58,20,1,2.46,IN,1681150913
332,seoul,37.5683,126.9778,285.84,52,78,4.46,KR,1681150212
333,andros town,24.7,-77.7667,297.13,66,95,5.0,BS,1681150797
334,katsuura,35.1333,140.3,289.3,71,34,10.03,JP,1681150913
335,kangaatsiaq,68.3065,-53.4641,269.53,85,87,4.71,GL,1681150914
336,salisbury,51.0693,-1.7957,285.38,58,20,9.77,GB,1681150914
337,richards bay,-28.783,32.0377,295.0,87,100,4.32,ZA,1681150914
338,turukhansk,65.8167,87.9833,257.06,87,100,3.11,RU,1681150737
339,rupert,42.6191,-113.6772,291.12,36,0,4.12,US,1681150915
340,necochea,-38.5473,-58.7368,288.91,54,67,6.28,AR,1681150915
341,virginia beach,36.8529,-75.978,288.73,58,0,5.66,US,1681150915
342,aku,6.7081,7.3167,302.77,58,81,3.6,NG,1681150916
343,kavieng,-2.5744,150.7967,298.73,90,100,5.43,PG,1681150916
344,ratnagiri,16.9833,73.3,300.06,80,4,0.9,IN,1681150916
345,antalaha,-14.9003,50.2788,297.89,85,58,1.47,MG,1681150632
346,jurmala,56.968,23.7704,282.03,61,0,1.03,LV,1681150917
347,novovorontsovka,47.5004,33.9175,284.36,64,100,5.53,UA,1681150917
348,ancud,-41.8697,-73.8203,287.89,99,100,2.35,CL,1681150918
349,tanout,14.9709,8.8879,307.36,9,100,4.24,NE,1681150918
350,petropavlovsk-kamchatskiy,53.0452,158.6483,272.48,100,75,2.0,RU,1681150918
351,binga,-17.6203,27.3414,297.92,51,31,0.72,ZW,1681150919
352,itarema,-2.9248,-39.9167,298.84,88,100,5.63,BR,1681150919
353,svetlaya,46.5389,138.3297,275.18,83,68,2.55,RU,1681150919
354,sinegorye,62.0788,150.477,254.65,97,100,1.7,RU,1681150924
355,mayumba,-3.432,10.6554,300.0,84,100,2.32,GA,1681150925
356,perth,-31.9333,115.8333,291.92,75,75,8.75,AU,1681150812
357,la libertad,-2.2333,-80.9,300.96,83,75,1.03,EC,1681150926
358,ust-tsilma,65.441,52.1498,272.93,93,100,4.83,RU,1681150926
359,dargaville,-35.9333,173.8833,287.32,95,40,2.36,NZ,1681150927
360,aksarka,66.5606,67.7975,251.54,98,93,2.64,RU,1681150928
361,laguna,38.421,-121.4238,298.5,54,0,1.54,US,1681150928
362,kurilsk,45.2333,147.8833,276.22,80,99,1.79,RU,1681150928
363,safford,32.834,-109.7076,301.34,13,0,3.13,US,1681150929
364,nogliki,51.8333,143.1667,266.18,90,21,1.78,RU,1681150930
365,litovko,49.2361,135.1742,277.53,63,92,2.62,RU,1681150930
366,hovd,48.0056,91.6419,271.78,35,17,0.27,MN,1681150931
367,tual,-5.6667,132.75,301.51,74,100,3.08,ID,1681150932
